rank,state,GDP_tril_naira,GDP_bill_dollars,GDP_PPP_bill_dollars,GDP_per_Capital_dollars,GDP_per_capital_PPP_dollars
1,Lagos,41.17,102.01,266.55,6614.0,17282.0
2,Rivers,7.96,19.72,51.52,2277.0,5949.0
3,Akwa Ibom,7.77,19.25,50.3,2962.0,7739.0
4,Imo,7.68,19.02,49.69,2996.0,7828.0
5,Delta,6.19,15.33,40.05,2306.0,6025.0
6,Anambra,5.14,12.73,33.26,2002.0,5231.0
7,Ondo,5.1,12.63,33.0,2326.0,6077.0
8,Ogun,5.03,12.46,32.55,2024.0,5288.0
9,Bayelsa,4.63,11.47,29.97,4355.0,11379.0
10,Niger,4.58,11.34,29.63,1721.0,4496.0
11,Kaduna,4.31,10.67,27.88,1112.0,2905.0
12,Benue,4.27,10.58,27.64,1585.0,4141.0
13,Kano,4.2,10.4,27.17,674.0,1761.0
14,Cross River,4.07,10.08,26.33,2255.0,5892.0
15,Edo,3.99,9.88,25.81,2038.0,5325.0
16,Kogi,3.69,9.14,23.88,1758.0,4593.0
17,Oyo,3.68,9.11,23.8,980.0,2560.0
18,Abia,3.53,8.74,22.83,2048.0,5351.0
19,Katsina,3.32,8.22,21.47,903.0,2359.0
20,Sokoto,2.85,7.06,18.44,1215.0,3174.0
21,Adamawa,2.66,6.59,17.21,1341.0,3504.0
22,Bauchi,2.63,6.51,17.01,840.0,2194.0
23,Ekiti,2.35,5.82,15.2,1523.0,3979.0
24,Osun,2.3,5.69,14.86,1030.0,2691.0
25,Ebonyi,2.24,5.55,14.5,1675.0,4376.0
26,Jigawa,2.16,5.35,13.97,794.0,2074.0
27,Gombe,2.1,5.2,13.58,1360.0,3553.0
28,Taraba,2.04,5.05,13.27,1424.0,3720.0
29,Borno,1.96,4.85,12.67,698.0,1823.0
30,Nasarawa,1.86,4.6,12.01,1569.0,4099.0
31,Kebbi,1.8,4.46,11.65,860.0,2247.0
32,Zamfara,1.73,4.28,11.18,807.0,2108.0
33,Plateau,1.5,3.71,9.69,771.0,2014.0
34,Enugu,1.45,3.54,9.35,690.0,1802.0
35,Kwara,1.38,3.41,8.91,919.0,2401.0
36,Yobe,1.09,2.7,7.05,688.0,1797.0
0,Abuja,0.0,5.4,0.0,1292.0,0.0
